Ni_fraction,Co_fraction,Fe_fraction,Predicted_Overpotential,Uncertainty,EI_score
0.85,0.1,0.05,192.00000000157,0.0001235352879806,-191.99987646628202
0.7,0.2,0.1,195.00000000127,0.0001235352879806,-194.99987646598203
0.05,0.05,0.9,207.7,12.35354199915235,-195.34645800084763
0.05,0.2,0.75,207.7,12.35354199915235,-195.34645800084763
0.05,0.25,0.7,207.7,12.35354199915235,-195.34645800084763
0.05,0.3,0.65,207.7,12.35354199915235,-195.34645800084763
0.05,0.35,0.6,207.7,12.35354199915235,-195.34645800084763
0.05,0.4,0.55,207.7,12.35354199915235,-195.34645800084763
0.05,0.45,0.5,207.7,12.35354199915235,-195.34645800084763
0.05,0.1,0.85,207.7,12.35354199915235,-195.34645800084763
0.05,0.15,0.8,207.7,12.35354199915235,-195.34645800084763
0.05,0.6,0.35,207.7,12.35354199915235,-195.34645800084763
0.05,0.65,0.3,207.7,12.35354199915235,-195.34645800084763
0.05,0.7,0.25,207.7,12.35354199915235,-195.34645800084763
0.05,0.75,0.2,207.7,12.35354199915235,-195.34645800084763
0.05,0.8,0.15,207.7,12.35354199915235,-195.34645800084763
0.05,0.85,0.1,207.7,12.35354199915235,-195.34645800084763
0.05,0.9,0.05,207.7,12.35354199915235,-195.34645800084763
0.1,0.05,0.85,207.7,12.35354199915235,-195.34645800084763
0.1,0.1,0.8,207.7,12.35354199915235,-195.34645800084763
0.1,0.15,0.75,207.7,12.35354199915235,-195.34645800084763
0.1,0.2,0.7,207.7,12.35354199915235,-195.34645800084763
0.1,0.25,0.65,207.7,12.35354199915235,-195.34645800084763
0.1,0.3,0.6,207.7,12.35354199915235,-195.34645800084763
0.1,0.35,0.55,207.7,12.35354199915235,-195.34645800084763
0.1,0.4,0.5,207.7,12.35354199915235,-195.34645800084763
0.1,0.45,0.45,207.7,12.35354199915235,-195.34645800084763
0.1,0.5,0.4,207.7,12.35354199915235,-195.34645800084763
0.1,0.55,0.35,207.7,12.35354199915235,-195.34645800084763
0.1,0.6,0.3,207.7,12.35354199915235,-195.34645800084763
0.1,0.65,0.25,207.7,12.35354199915235,-195.34645800084763
